country_code	name	include_code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	last.observed
1	Uusimaa	2	0.004102916390679617	0.006451686202967613	0.004356319186713587	0.006378947018046342	0.006102806101084135	0.007154602020914166	0.00728247932370983	0.008161278680693738	0.008495980264522609	0.007801067638118526	0.006067208228963726	0.005837760606627892	0.00374860226123072	0.002301508939122694	0.0017134436791062678	0.004006530498818953	0.00530892517851941	0.0060581156602630545	0.006649507083214544	0.0057042539148897346	0.004865763188102866	0.006207625224416224	0.007088824304835584	0.007624925406950955	0.007439420286564325	0.0068405152090448475	0.00782589965443839	0.008365414489349585	0.007081317980411011	0.009120156263464798	0.005991507493822959	0.0046679407380608665	0.010142056438844117	0.014622918317193036	0.011791170063488293	0.008478931717443752	2021
2	Southwest Finland	2	0.0018245806179026057	0.0027299533015740143	0.0022029319361922288	0.0021708513654678406	0.0034757637502933255	0.00423714121261295	0.0038334340720584483	0.004624095124242555	0.005759444329538403	0.004462250310348719	0.003016550628223602	0.004509028121036987	0.0036835650677842745	0.0028028596264036473	0.0018212198636737365	0.0035328212983063174	0.00410462176020229	0.0024399887284316576	0.0034796999357627357	0.0028795885310845945	0.0038084827851393565	0.0036480266905712377	0.003364603599612172	0.004017605814013	0.0037546721032959566	0.003333862182029721	0.00387078003807532	0.006186611936249719	0.004057134842163219	0.004022299208912997	0.0063149198587227045	0.006431202132101379	0.008174122036829053	0.01430080709768168	0.01149177034389734	0.009482255127632528	2021
4	Satakunta	2	-0.00257341496316281	-7.891119168359104e-4	-0.0012958586517255273	-0.0011381384375103844	-0.00369617369105975	-0.004220340960221307	-0.005391736849804602	-0.005024006855500993	-0.004661807801771825	-0.005605485822915871	-0.006079416649233883	-0.004390094982564314	-0.002351852732515661	-0.0013103089205137104	-0.001961637162367883	-0.0021404688106230027	-0.0026806603257898765	-0.0026309904363497638	-0.001681848800912249	2.739024023891358e-4	1.63632825629323e-4	-2.923432641454275e-4	6.391421292309878e-4	7.735602443383392e-4	2.003954470154438e-4	-0.0017322743243906903	-0.001435254331552721	-0.0012311716424641473	-0.0029355983266635814	-0.0029639929742388757	-2.5374621687458476e-4	5.756304081405281e-4	-4.66676933559205e-6	0.0042529968572987825	0.0043921790875602156	0.0015052470640582029	2021
5	Kanta-Häme	2	0.005236349197486056	0.00501084759134165	0.0027899805435567357	0.0013506689461740174	-4.5518823550832387e-4	-0.0014185515013003388	-0.0011822695938449226	-1.6374354122698494e-4	-5.635475622023196e-4	0.001170306947863735	0.0011562443247169925	0.002177766216796627	0.002676591605290347	0.004756278408063369	0.00585065527339062	0.005512139831772356	0.008569850517576211	0.008690689135755977	0.008643969926917043	0.0040163891794430225	0.004694295510504637	0.003523244822548767	0.0018147577469611368	0.0017210723078325888	6.268484907197931e-5	-0.0016994582264043341	-0.0025470780149962798	-0.0036022349969214128	-0.003937007874015748	0.0010445601176443126	0.002322656135732046	0.0021749708342859823	0.001263123263205513	0.006853961082241635	0.004936684223253729	0.0023487061461745008	2021
6	Pirkanmaa	2	0.0028035639315202687	0.002159521282894966	0.0026110626724423036	0.0027829869190399616	0.0029073703099435737	0.0043710084589855605	0.004106785498736199	0.004421473147280873	0.004439596351361057	0.004816480487451038	0.005504407965411011	0.006842863414063827	0.006659605107083299	0.005676989717519773	0.006552565126367815	0.006274816868624632	0.006652397387406689	0.007116443835950116	0.0056758364992905205	0.005187376970027113	0.004927349245845237	0.005090026151712469	0.005146978648822192	0.005116170947844314	0.005131572402129036	0.004340037488433157	0.005910142236767575	0.005625026874259737	0.0065949491866164524	0.005880158427937132	0.006818986211990644	0.009551460069006144	0.012580619476072936	0.015234544399826534	0.013294790185218492	0.008034381726640338	2021
7	Päijät-Häme	2	0.0023414615030419405	0.0019326406410900875	2.1885775704843564e-4	-8.636290858631681e-4	-0.0021674513778105345	-0.002163252833812709	-0.003019813276497405	-1.8987896433196686e-4	-5.697922449814452e-4	-8.632882992732771e-4	3.5146296459010633e-4	5.807370969001328e-4	0.0024625617469071688	0.002268037223065841	0.0011518553619596123	0.0011406604181127167	0.0010521722265321954	0.004634809013904427	0.0038452445855385996	0.0032509377705107244	0.0033648376861820854	0.0034438659430876006	0.0025521176841682676	0.0011933003346014139	3.05627850337862e-4	-3.110658071679133e-4	0.00330416017264117	0.0011314928994026101	7.786664615857879e-4	-7.666567017367909e-4	0.001963017715629014	0.002269513196708963	0.0035539478559310465	0.00690858953297348	0.007648707202206583	0.005834778996750311	2021
8	Kymenlaakso	2	-0.0011697287087912088	0.0015535128742675912	6.333122229259025e-4	-0.0015881361934092348	-0.003853719887774517	-0.004281200461550075	-0.0032828624827324683	-0.0034000837780642913	-0.0021208907741251328	-0.003956864144005708	-0.003539051026380009	-0.0014115816383238858	2.844521785690382e-4	2.5176937924860826e-4	9.532300480540089e-4	7.519429870093432e-4	-0.0021075585479764626	-7.062346393965931e-4	-0.0011454104198326113	0.001690756627822909	0.0015892364829456127	-4.561601578314146e-5	0.00128126662357645	2.2927103275136702e-5	-0.0016794736115584596	-0.00219770051125454	-0.0012807227933728418	-0.005920243602506295	-0.0051277187283257555	-0.006193622729155039	-0.002614681130515153	-9.581603321622484e-4	-0.0018588397122516124	0.004395315008025682	0.0017648022791160861	0.0011432781595762248	2021
9	South Karelia	2	-2.4244671520354827e-4	4.563475086278201e-4	-0.002026400285408491	-0.0017297204571608282	-0.0022641130910159134	-0.0032664020043504166	-0.0025670978814231527	-1.3751872787938884e-4	-0.0028127356028533317	-0.002921931243533132	2.1241530855154733e-4	4.255350369408433e-4	-4.2596631928378903e-4	4.196113074204947e-4	-7.899127404804441e-4	0.0010447385189905306	-5.193417714005905e-4	-0.0012124277564135942	7.84173145430511e-4	4.0404947361332463e-4	0	3.0098044379566437e-5	0.001727949776272005	0.003007064334554796	5.519765296555061e-4	-5.388421723687806e-4	3.4310548587549084e-4	5.363738065682804e-4	-0.0023947945943864784	-6.523967815092113e-4	8.610095728609783e-4	0.0014024471915601044	0.0023551428548772074	0.00758657551075762	0.00711078442338729	0.00135110286769585	2021
10	South Savo	2	9.173077628698279e-5	4.8329275305575607e-4	0.0012605093436784845	4.892876583304282e-5	-0.00290565806412064	-0.002809006029835701	-0.004221362315083964	-0.005169802889628121	-0.006278228602485054	-0.00647661048984092	-0.004874979343307867	-0.004855332859329862	-0.0040715456387358205	-0.0021447512088597722	-0.0015755238126368776	-0.0011368789059676286	-0.002298622807886654	-0.005622345834080986	-0.003053035589672017	-0.0010210153355151056	-5.170806713884296e-4	-0.0011083288863347153	-7.842975377185198e-4	-9.003206526632177e-5	-8.35433520377616e-5	-9.247194317178765e-4	-0.0013557311415679878	-0.004336927262109926	-0.008557721398625578	-0.007224819379515512	-0.003030212784966571	0.001808563548401682	0.002475548265597473	0.005802945167150885	0.006242591252674847	0.0012057877813504824	2021
11	North Savo	2	-1.889287738522577e-4	9.58345910051313e-4	7.855991038907829e-4	-2.8105361378736606e-4	-0.0022850207524835555	-0.002787874245887511	-0.0030265707376421285	-0.004366746472722892	-0.005990671937954025	-0.005609516782913602	-0.006048363957718838	-0.0036858869430247384	-0.0021958989267930598	-0.0013619009187981128	-0.0011086086378117232	-0.0036690815611124094	-0.001587903771467012	-0.0011133150916916902	-9.671065822217504e-4	-3.859802519899645e-4	-9.857849805800359e-5	0.0016026083832997155	0.002106741573033708	0.0022206970543222735	0.0022275402829961795	0.0011199400595461088	0.0013268098515631479	-0.001202460297055159	-7.791072067416623e-4	-0.0010462673812167052	0.0015501821263197632	0.005188004752985721	0.0036760709123339627	0.008106940558522987	0.007703775333413917	0.004232059964230452	2021
