country_code	reg_code	name	include_code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
246	1	Uusimaa	2	78.6	79	79.3	79.4	80.2	80.4	80.4	80.4	80.5	81	81.1	81.4	81.5	81.6	82	82.1	83	83.1	83.3	83.3	83.2	83.6	83.6	84.1	84.1	84.2	84.4	84.6	84.8	84.9	84.8	84.7	84	84.5	85	85.1
246	2	Southwest Finland	2	79.3	79.7	79.5	80	80.8	80.4	80.8	81.3	81.7	81.6	81.1	81.9	82	82.4	82.7	82.6	83.2	83.1	83.1	83.7	83.6	84	83.5	84.1	84.2	84.7	84.5	84.3	84.5	85.1	85.3	85	84.3	84.8	85	84.9
246	4	Satakunta	2	79.8	79.3	80	79.9	81	80.9	80.5	80.1	81.5	81.1	80.7	82.1	81	82.6	82.7	82.3	83.2	82.7	83.3	82.8	82.9	83.5	82.2	83.1	83.2	83.5	83.8	83.7	83.4	84.3	84.3	84	82.7	83.6	85.1	84.3
246	5	Kanta-Häme	2	79.6	80.1	80.5	79.8	80.6	81.4	80.4	80.7	81.3	81.3	80.5	81.2	82.2	81.4	82.2	81.7	83.3	82	82.8	82.8	83.1	83.9	84	82.9	84	84	84.1	84.6	84.6	85.2	84.1	84.4	84.6	83.3	85.4	85
246	6	Pirkanmaa	2	79.4	79.7	79.3	79.6	80.2	80.2	80.5	80.5	81.7	81.3	80.9	81.6	81.4	82	83.1	82.4	82.7	82.9	83.4	83.4	83	83.5	83.6	84.1	84.2	84.3	84.8	84.4	85	85.1	84.9	84.8	84.1	84.3	85	85.1
246	7	Päijät-Häme	2	78.5	79	78.9	79.5	78.8	80.9	80.2	80	80.4	80.8	81.2	81.8	81.5	81.2	82.1	82	83.4	83	82.4	81.9	82.8	83.3	82.9	83.2	83.3	83.9	83.4	83	84	83.8	84.2	84.1	83	83.7	83.8	83.6
246	8	Kymenlaakso	2	78.4	79	78.6	79.1	80.1	79.8	79.9	79.9	80.8	80.1	80.7	80.7	80.4	81.8	81.6	81.4	82.2	82	81.8	81.8	82.8	83.1	82.9	83.9	83	83.4	84.1	83.7	83.1	83.6	83.4	84.1	83.6	84.4	84.4	83.3
246	9	South Karelia	2	78.8	79.1	79	79.4	80.6	79.4	80.5	79.8	81.2	81.2	81.9	81.2	82.5	80.9	81	82.2	81.8	82.1	82.9	82.3	83.3	83.3	84.1	84	84.4	84	82.9	84	84.8	83.8	84.2	84	84.8	84	85.4	84
246	10	South Savo	2	78.7	78.4	78.4	78.5	79.5	79.9	80.7	81	80.7	80.9	81.5	80.9	81.5	81.5	81.9	82	82	83	83	83.1	83.2	83	83.6	83.3	83.1	83.8	83.6	83.6	82.9	84.1	83.9	84.3	82.9	83.3	84.6	84.4
246	11	North Savo	2	78.8	79.3	80	79.1	79.2	79.5	79.7	80.1	79.8	80.6	80.8	81	81.3	81.3	81.6	82.6	82.3	82.4	82.7	82.7	82.8	83	82.7	83.5	83.7	83.7	84.1	84.2	84	83.8	84.4	83.8	83.8	84.3	84.5	84.5
246	12	North Karelia	2	78	79	79.2	79.1	78.6	79.6	79.9	80.3	79.1	80.4	79.8	81.3	80.4	81.2	81.7	82.1	82.1	82.2	82	83.8	82.6	84	83.2	83.5	82.2	83.4	83.5	83.9	84	83.6	84	84.2	83.8	84.1	84.8	85.6
246	13	Central Finland	2	78.1	79.6	79.1	79.4	80.1	79.8	80.5	80.5	80.5	81.1	80.7	81.5	81.4	81.5	82.8	82.7	82.9	83.1	82.9	83.3	83.2	83.2	82.8	84	83.3	84.2	83.9	84.5	84	84.8	85.1	84.4	84.1	84	85.5	85.2
246	14	South Ostrobothnia	2	80.1	78.6	79.5	79.6	80.4	80.3	81.1	81.3	81.1	80.8	81.1	81.8	82.4	81.9	81.8	82.5	82.9	83.5	82.9	84.1	83.6	84	84.1	84.1	84.7	84.7	84.4	85.3	84.9	85	85.1	85	83.6	83.5	83.9	84.4
246	15	Ostrobothnia	2	80	80.8	81.4	80.6	81.5	81.4	81.3	82.2	83.1	82.3	83.1	82.4	82.1	83.7	84.1	83.9	84.5	84.3	84.7	84	85.2	85	84.7	84.8	85.5	85.8	85.5	84.8	85.6	85.3	85.6	85.4	84.9	86	85.8	86.1
246	16	Central Ostrobothnia	2	80	80.2	82.1	81.3	81.5	80.1	81.6	81.2	81.1	82.2	82.7	82.8	82.6	83.1	83.8	83.2	84.2	84.1	83.4	83.8	83.6	83.9	83.9	85.2	85.1	85.2	83.9	83.6	85.3	85.1	85.2	85.2	84.3	83.1	84.5	86.2
