name	reg_code	age	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Uusimaa	1	0	-45.4	6	-5.2	18.6	8.8	16.4	22.8	24.4	15.4	-3.4	-24.4	-38.6	-26.8	-42.6	-52	-49.6	-13.2	-32.4	-13.2	26.6	0.8	43.2	29.8	62	86.8	88.2	82.4	98.4	85	93.8	61.6	11.2	74.8	123.4	102.8
Uusimaa	1	1	-45.4	6	-5.2	18.6	8.8	16.4	22.8	24.4	15.4	-3.4	-24.4	-38.6	-26.8	-42.6	-52	-49.6	-13.2	-32.4	-13.2	26.6	0.8	43.2	29.8	62	86.8	88.2	82.4	98.4	85	93.8	61.6	11.2	74.8	123.4	102.8
Uusimaa	1	2	-45.4	6	-5.2	18.6	8.8	16.4	22.8	24.4	15.4	-3.4	-24.4	-38.6	-26.8	-42.6	-52	-49.6	-13.2	-32.4	-13.2	26.6	0.8	43.2	29.8	62	86.8	88.2	82.4	98.4	85	93.8	61.6	11.2	74.8	123.4	102.8
Uusimaa	1	3	-45.4	6	-5.2	18.6	8.8	16.4	22.8	24.4	15.4	-3.4	-24.4	-38.6	-26.8	-42.6	-52	-49.6	-13.2	-32.4	-13.2	26.6	0.8	43.2	29.8	62	86.8	88.2	82.4	98.4	85	93.8	61.6	11.2	74.8	123.4	102.8
Uusimaa	1	4	-45.4	6	-5.2	18.6	8.8	16.4	22.8	24.4	15.4	-3.4	-24.4	-38.6	-26.8	-42.6	-52	-49.6	-13.2	-32.4	-13.2	26.6	0.8	43.2	29.8	62	86.8	88.2	82.4	98.4	85	93.8	61.6	11.2	74.8	123.4	102.8
Uusimaa	1	5	-26.8	-0.2	14.8	41.2	28.8	31.8	45.6	23.8	21.6	8.8	-2	-11	-11.8	-22.6	-13.6	-20	-23	-12.6	12.8	23.6	6	7.2	34.6	54.4	56.6	40.2	57.8	71.6	65	63.2	62.2	15.4	97.4	143.2	128.2
Uusimaa	1	6	-26.8	-0.2	14.8	41.2	28.8	31.8	45.6	23.8	21.6	8.8	-2	-11	-11.8	-22.6	-13.6	-20	-23	-12.6	12.8	23.6	6	7.2	34.6	54.4	56.6	40.2	57.8	71.6	65	63.2	62.2	15.4	97.4	143.2	128.2
Uusimaa	1	7	-26.8	-0.2	14.8	41.2	28.8	31.8	45.6	23.8	21.6	8.8	-2	-11	-11.8	-22.6	-13.6	-20	-23	-12.6	12.8	23.6	6	7.2	34.6	54.4	56.6	40.2	57.8	71.6	65	63.2	62.2	15.4	97.4	143.2	128.2
Uusimaa	1	8	-26.8	-0.2	14.8	41.2	28.8	31.8	45.6	23.8	21.6	8.8	-2	-11	-11.8	-22.6	-13.6	-20	-23	-12.6	12.8	23.6	6	7.2	34.6	54.4	56.6	40.2	57.8	71.6	65	63.2	62.2	15.4	97.4	143.2	128.2
Uusimaa	1	9	-26.8	-0.2	14.8	41.2	28.8	31.8	45.6	23.8	21.6	8.8	-2	-11	-11.8	-22.6	-13.6	-20	-23	-12.6	12.8	23.6	6	7.2	34.6	54.4	56.6	40.2	57.8	71.6	65	63.2	62.2	15.4	97.4	143.2	128.2
Uusimaa	1	10	-11.8	29.4	17.8	43	26	30.6	31.2	40	28.2	22.8	13.8	27.4	24.4	9.6	-1.4	3.4	3.6	8.2	24.4	19.8	25	23.4	39.6	42.2	46.8	42.4	50.4	71.8	50.4	59	54.8	45.4	83	153.8	122.8
Uusimaa	1	11	-11.8	29.4	17.8	43	26	30.6	31.2	40	28.2	22.8	13.8	27.4	24.4	9.6	-1.4	3.4	3.6	8.2	24.4	19.8	25	23.4	39.6	42.2	46.8	42.4	50.4	71.8	50.4	59	54.8	45.4	83	153.8	122.8
Uusimaa	1	12	-11.8	29.4	17.8	43	26	30.6	31.2	40	28.2	22.8	13.8	27.4	24.4	9.6	-1.4	3.4	3.6	8.2	24.4	19.8	25	23.4	39.6	42.2	46.8	42.4	50.4	71.8	50.4	59	54.8	45.4	83	153.8	122.8
Uusimaa	1	13	-11.8	29.4	17.8	43	26	30.6	31.2	40	28.2	22.8	13.8	27.4	24.4	9.6	-1.4	3.4	3.6	8.2	24.4	19.8	25	23.4	39.6	42.2	46.8	42.4	50.4	71.8	50.4	59	54.8	45.4	83	153.8	122.8
