name	reg_code	age	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Uusimaa	1	21	394.2	343.2	266.6	338.6	353.4	382	369.6	391.6	426.8	467.4	453.8	421	311.6	278.2	270	341.6	324.4	425.8	426.4	287	275	282	345	302.6	279.8	268.4	325.2	298.8	283.8	317.4	212.2	218.4	325.6	387.6	352.4
Uusimaa	1	22	394.2	343.2	266.6	338.6	353.4	382	369.6	391.6	426.8	467.4	453.8	421	311.6	278.2	270	341.6	324.4	425.8	426.4	287	275	282	345	302.6	279.8	268.4	325.2	298.8	283.8	317.4	212.2	218.4	325.6	387.6	352.4
Uusimaa	1	23	394.2	343.2	266.6	338.6	353.4	382	369.6	391.6	426.8	467.4	453.8	421	311.6	278.2	270	341.6	324.4	425.8	426.4	287	275	282	345	302.6	279.8	268.4	325.2	298.8	283.8	317.4	212.2	218.4	325.6	387.6	352.4
Uusimaa	1	24	394.2	343.2	266.6	338.6	353.4	382	369.6	391.6	426.8	467.4	453.8	421	311.6	278.2	270	341.6	324.4	425.8	426.4	287	275	282	345	302.6	279.8	268.4	325.2	298.8	283.8	317.4	212.2	218.4	325.6	387.6	352.4
Uusimaa	1	25	265	279.4	198	182.6	251.2	271	287.4	342.8	349.2	366.4	323.8	264.8	177.6	167	189.6	289.2	341.6	416.8	409	321.6	323.2	405.6	380.4	396	402.4	435.4	543	539.2	499	549.4	494.6	427.6	597.2	656.6	553.4
Uusimaa	1	26	265	279.4	198	182.6	251.2	271	287.4	342.8	349.2	366.4	323.8	264.8	177.6	167	189.6	289.2	341.6	416.8	409	321.6	323.2	405.6	380.4	396	402.4	435.4	543	539.2	499	549.4	494.6	427.6	597.2	656.6	553.4
Uusimaa	1	27	265	279.4	198	182.6	251.2	271	287.4	342.8	349.2	366.4	323.8	264.8	177.6	167	189.6	289.2	341.6	416.8	409	321.6	323.2	405.6	380.4	396	402.4	435.4	543	539.2	499	549.4	494.6	427.6	597.2	656.6	553.4
Uusimaa	1	28	265	279.4	198	182.6	251.2	271	287.4	342.8	349.2	366.4	323.8	264.8	177.6	167	189.6	289.2	341.6	416.8	409	321.6	323.2	405.6	380.4	396	402.4	435.4	543	539.2	499	549.4	494.6	427.6	597.2	656.6	553.4
Uusimaa	1	29	265	279.4	198	182.6	251.2	271	287.4	342.8	349.2	366.4	323.8	264.8	177.6	167	189.6	289.2	341.6	416.8	409	321.6	323.2	405.6	380.4	396	402.4	435.4	543	539.2	499	549.4	494.6	427.6	597.2	656.6	553.4
Uusimaa	1	30	32.4	72.4	45	64.4	54.4	83.8	81.6	109.6	125.8	118.2	39.4	75.4	34.4	5.4	-0.8	45.2	95	89	99.6	108.4	112.2	152.2	167.2	178.4	188.2	188.6	206	231.2	211.8	271.2	194.2	221	368.4	450.6	264
Uusimaa	1	31	32.4	72.4	45	64.4	54.4	83.8	81.6	109.6	125.8	118.2	39.4	75.4	34.4	5.4	-0.8	45.2	95	89	99.6	108.4	112.2	152.2	167.2	178.4	188.2	188.6	206	231.2	211.8	271.2	194.2	221	368.4	450.6	264
Uusimaa	1	32	32.4	72.4	45	64.4	54.4	83.8	81.6	109.6	125.8	118.2	39.4	75.4	34.4	5.4	-0.8	45.2	95	89	99.6	108.4	112.2	152.2	167.2	178.4	188.2	188.6	206	231.2	211.8	271.2	194.2	221	368.4	450.6	264
Uusimaa	1	33	32.4	72.4	45	64.4	54.4	83.8	81.6	109.6	125.8	118.2	39.4	75.4	34.4	5.4	-0.8	45.2	95	89	99.6	108.4	112.2	152.2	167.2	178.4	188.2	188.6	206	231.2	211.8	271.2	194.2	221	368.4	450.6	264
Uusimaa	1	34	32.4	72.4	45	64.4	54.4	83.8	81.6	109.6	125.8	118.2	39.4	75.4	34.4	5.4	-0.8	45.2	95	89	99.6	108.4	112.2	152.2	167.2	178.4	188.2	188.6	206	231.2	211.8	271.2	194.2	221	368.4	450.6	264
Uusimaa	1	35	-13.6	29.6	10.8	24	9.6	27	20.4	35.8	41.6	12.8	-22.2	15.6	-17.8	-21.8	-33.4	2	20.2	35.2	35.6	40	30.2	44.6	75.4	84.4	100.6	84.6	77.6	95.4	62.4	151.6	103	98.8	222	298.6	220.6
Uusimaa	1	36	-13.6	29.6	10.8	24	9.6	27	20.4	35.8	41.6	12.8	-22.2	15.6	-17.8	-21.8	-33.4	2	20.2	35.2	35.6	40	30.2	44.6	75.4	84.4	100.6	84.6	77.6	95.4	62.4	151.6	103	98.8	222	298.6	220.6
Uusimaa	1	37	-13.6	29.6	10.8	24	9.6	27	20.4	35.8	41.6	12.8	-22.2	15.6	-17.8	-21.8	-33.4	2	20.2	35.2	35.6	40	30.2	44.6	75.4	84.4	100.6	84.6	77.6	95.4	62.4	151.6	103	98.8	222	298.6	220.6
Uusimaa	1	38	-13.6	29.6	10.8	24	9.6	27	20.4	35.8	41.6	12.8	-22.2	15.6	-17.8	-21.8	-33.4	2	20.2	35.2	35.6	40	30.2	44.6	75.4	84.4	100.6	84.6	77.6	95.4	62.4	151.6	103	98.8	222	298.6	220.6
Uusimaa	1	39	-13.6	29.6	10.8	24	9.6	27	20.4	35.8	41.6	12.8	-22.2	15.6	-17.8	-21.8	-33.4	2	20.2	35.2	35.6	40	30.2	44.6	75.4	84.4	100.6	84.6	77.6	95.4	62.4	151.6	103	98.8	222	298.6	220.6
Uusimaa	1	40	-17.6	22.4	2.4	6.8	-5.6	2.8	12.2	33	26	12.6	-11	26.6	-2.8	0.4	-14.6	1.8	16.4	-4	11.8	21.4	8.8	15.6	32.4	61.2	44.6	42.8	38.4	30.2	13	49.4	38.4	53.2	123.6	169	113.8
Uusimaa	1	41	-17.6	22.4	2.4	6.8	-5.6	2.8	12.2	33	26	12.6	-11	26.6	-2.8	0.4	-14.6	1.8	16.4	-4	11.8	21.4	8.8	15.6	32.4	61.2	44.6	42.8	38.4	30.2	13	49.4	38.4	53.2	123.6	169	113.8
Uusimaa	1	42	-17.6	22.4	2.4	6.8	-5.6	2.8	12.2	33	26	12.6	-11	26.6	-2.8	0.4	-14.6	1.8	16.4	-4	11.8	21.4	8.8	15.6	32.4	61.2	44.6	42.8	38.4	30.2	13	49.4	38.4	53.2	123.6	169	113.8
Uusimaa	1	43	-17.6	22.4	2.4	6.8	-5.6	2.8	12.2	33	26	12.6	-11	26.6	-2.8	0.4	-14.6	1.8	16.4	-4	11.8	21.4	8.8	15.6	32.4	61.2	44.6	42.8	38.4	30.2	13	49.4	38.4	53.2	123.6	169	113.8
Uusimaa	1	44	-17.6	22.4	2.4	6.8	-5.6	2.8	12.2	33	26	12.6	-11	26.6	-2.8	0.4	-14.6	1.8	16.4	-4	11.8	21.4	8.8	15.6	32.4	61.2	44.6	42.8	38.4	30.2	13	49.4	38.4	53.2	123.6	169	113.8
Uusimaa	1	45	-9.2	4.6	-12.6	-7.2	-13	-4	-3.2	6.8	21.2	5.2	-15.2	10.6	11.8	-7.6	-13.6	-5.8	-13.2	4.6	6.2	-7.2	3.4	-6.8	12	13.8	-0.8	15.8	-6.6	23.4	4.6	19.2	18.6	28	68.2	85.6	43.2
Uusimaa	1	46	-9.2	4.6	-12.6	-7.2	-13	-4	-3.2	6.8	21.2	5.2	-15.2	10.6	11.8	-7.6	-13.6	-5.8	-13.2	4.6	6.2	-7.2	3.4	-6.8	12	13.8	-0.8	15.8	-6.6	23.4	4.6	19.2	18.6	28	68.2	85.6	43.2
Uusimaa	1	47	-9.2	4.6	-12.6	-7.2	-13	-4	-3.2	6.8	21.2	5.2	-15.2	10.6	11.8	-7.6	-13.6	-5.8	-13.2	4.6	6.2	-7.2	3.4	-6.8	12	13.8	-0.8	15.8	-6.6	23.4	4.6	19.2	18.6	28	68.2	85.6	43.2
Uusimaa	1	48	-9.2	4.6	-12.6	-7.2	-13	-4	-3.2	6.8	21.2	5.2	-15.2	10.6	11.8	-7.6	-13.6	-5.8	-13.2	4.6	6.2	-7.2	3.4	-6.8	12	13.8	-0.8	15.8	-6.6	23.4	4.6	19.2	18.6	28	68.2	85.6	43.2
Uusimaa	1	49	-9.2	4.6	-12.6	-7.2	-13	-4	-3.2	6.8	21.2	5.2	-15.2	10.6	11.8	-7.6	-13.6	-5.8	-13.2	4.6	6.2	-7.2	3.4	-6.8	12	13.8	-0.8	15.8	-6.6	23.4	4.6	19.2	18.6	28	68.2	85.6	43.2
Uusimaa	1	50	-6	-7	-4.2	-8.4	-17	-5.2	-22.4	-12.2	-4.6	-8.8	-2.8	0	-13.2	-10.8	-26.2	-13.6	-14	-3.8	-9	4	-9.2	-14.6	2	-7.6	-4	-15.2	-2.8	-7.6	-24.6	7	-16	-14.4	3	26.4	14.8
Uusimaa	1	51	-6	-7	-4.2	-8.4	-17	-5.2	-22.4	-12.2	-4.6	-8.8	-2.8	0	-13.2	-10.8	-26.2	-13.6	-14	-3.8	-9	4	-9.2	-14.6	2	-7.6	-4	-15.2	-2.8	-7.6	-24.6	7	-16	-14.4	3	26.4	14.8
Uusimaa	1	52	-6	-7	-4.2	-8.4	-17	-5.2	-22.4	-12.2	-4.6	-8.8	-2.8	0	-13.2	-10.8	-26.2	-13.6	-14	-3.8	-9	4	-9.2	-14.6	2	-7.6	-4	-15.2	-2.8	-7.6	-24.6	7	-16	-14.4	3	26.4	14.8
Uusimaa	1	53	-6	-7	-4.2	-8.4	-17	-5.2	-22.4	-12.2	-4.6	-8.8	-2.8	0	-13.2	-10.8	-26.2	-13.6	-14	-3.8	-9	4	-9.2	-14.6	2	-7.6	-4	-15.2	-2.8	-7.6	-24.6	7	-16	-14.4	3	26.4	14.8
Uusimaa	1	54	-6	-7	-4.2	-8.4	-17	-5.2	-22.4	-12.2	-4.6	-8.8	-2.8	0	-13.2	-10.8	-26.2	-13.6	-14	-3.8	-9	4	-9.2	-14.6	2	-7.6	-4	-15.2	-2.8	-7.6	-24.6	7	-16	-14.4	3	26.4	14.8
Uusimaa	1	55	-27.4	-14.8	-19.4	-27.2	-46.2	-28.2	-26	-36	-36.4	-31.4	-16.8	-28.4	-37.6	-38.6	-55	-33.4	-36.6	-43	-32.4	-27.4	-24.8	-26	-26	-24	-15	-21.2	-26.2	-19.8	-33.6	-26	-36	-22.2	-29.6	-9.4	-6.8
Uusimaa	1	56	-27.4	-14.8	-19.4	-27.2	-46.2	-28.2	-26	-36	-36.4	-31.4	-16.8	-28.4	-37.6	-38.6	-55	-33.4	-36.6	-43	-32.4	-27.4	-24.8	-26	-26	-24	-15	-21.2	-26.2	-19.8	-33.6	-26	-36	-22.2	-29.6	-9.4	-6.8
Uusimaa	1	57	-27.4	-14.8	-19.4	-27.2	-46.2	-28.2	-26	-36	-36.4	-31.4	-16.8	-28.4	-37.6	-38.6	-55	-33.4	-36.6	-43	-32.4	-27.4	-24.8	-26	-26	-24	-15	-21.2	-26.2	-19.8	-33.6	-26	-36	-22.2	-29.6	-9.4	-6.8
Uusimaa	1	58	-27.4	-14.8	-19.4	-27.2	-46.2	-28.2	-26	-36	-36.4	-31.4	-16.8	-28.4	-37.6	-38.6	-55	-33.4	-36.6	-43	-32.4	-27.4	-24.8	-26	-26	-24	-15	-21.2	-26.2	-19.8	-33.6	-26	-36	-22.2	-29.6	-9.4	-6.8
Uusimaa	1	59	-27.4	-14.8	-19.4	-27.2	-46.2	-28.2	-26	-36	-36.4	-31.4	-16.8	-28.4	-37.6	-38.6	-55	-33.4	-36.6	-43	-32.4	-27.4	-24.8	-26	-26	-24	-15	-21.2	-26.2	-19.8	-33.6	-26	-36	-22.2	-29.6	-9.4	-6.8
Uusimaa	1	60	-33.2	-25.8	-19.2	-14.8	-28.8	-21.6	-25.6	-30	-21.2	-44.6	-40.4	-48	-52.2	-46	-44.4	-52.2	-51.2	-46.2	-62.8	-62.6	-72.2	-67.4	-49.8	-52	-58.6	-69.8	-77	-54.6	-60.4	-36.4	-70.4	-77	-54.6	-40.6	-39.2
Uusimaa	1	61	-33.2	-25.8	-19.2	-14.8	-28.8	-21.6	-25.6	-30	-21.2	-44.6	-40.4	-48	-52.2	-46	-44.4	-52.2	-51.2	-46.2	-62.8	-62.6	-72.2	-67.4	-49.8	-52	-58.6	-69.8	-77	-54.6	-60.4	-36.4	-70.4	-77	-54.6	-40.6	-39.2
Uusimaa	1	62	-33.2	-25.8	-19.2	-14.8	-28.8	-21.6	-25.6	-30	-21.2	-44.6	-40.4	-48	-52.2	-46	-44.4	-52.2	-51.2	-46.2	-62.8	-62.6	-72.2	-67.4	-49.8	-52	-58.6	-69.8	-77	-54.6	-60.4	-36.4	-70.4	-77	-54.6	-40.6	-39.2
Uusimaa	1	63	-33.2	-25.8	-19.2	-14.8	-28.8	-21.6	-25.6	-30	-21.2	-44.6	-40.4	-48	-52.2	-46	-44.4	-52.2	-51.2	-46.2	-62.8	-62.6	-72.2	-67.4	-49.8	-52	-58.6	-69.8	-77	-54.6	-60.4	-36.4	-70.4	-77	-54.6	-40.6	-39.2
Uusimaa	1	64	-33.2	-25.8	-19.2	-14.8	-28.8	-21.6	-25.6	-30	-21.2	-44.6	-40.4	-48	-52.2	-46	-44.4	-52.2	-51.2	-46.2	-62.8	-62.6	-72.2	-67.4	-49.8	-52	-58.6	-69.8	-77	-54.6	-60.4	-36.4	-70.4	-77	-54.6	-40.6	-39.2
Uusimaa	1	65	-10.8	-5.2	-4.4	-6.6	-3.2	-1.6	-10.6	-7	-12.6	-15.2	-20.6	-21	-22	-20.6	-27.2	-10.4	-19	-24.6	-17.6	-20.2	-24.8	-33.2	-34.8	-33.4	-45.2	-39.4	-47.6	-34	-21.4	-22.8	-45.4	-54	-47	-28.8	-21.8
Uusimaa	1	66	-10.8	-5.2	-4.4	-6.6	-3.2	-1.6	-10.6	-7	-12.6	-15.2	-20.6	-21	-22	-20.6	-27.2	-10.4	-19	-24.6	-17.6	-20.2	-24.8	-33.2	-34.8	-33.4	-45.2	-39.4	-47.6	-34	-21.4	-22.8	-45.4	-54	-47	-28.8	-21.8
Uusimaa	1	67	-10.8	-5.2	-4.4	-6.6	-3.2	-1.6	-10.6	-7	-12.6	-15.2	-20.6	-21	-22	-20.6	-27.2	-10.4	-19	-24.6	-17.6	-20.2	-24.8	-33.2	-34.8	-33.4	-45.2	-39.4	-47.6	-34	-21.4	-22.8	-45.4	-54	-47	-28.8	-21.8
Uusimaa	1	68	-10.8	-5.2	-4.4	-6.6	-3.2	-1.6	-10.6	-7	-12.6	-15.2	-20.6	-21	-22	-20.6	-27.2	-10.4	-19	-24.6	-17.6	-20.2	-24.8	-33.2	-34.8	-33.4	-45.2	-39.4	-47.6	-34	-21.4	-22.8	-45.4	-54	-47	-28.8	-21.8
Uusimaa	1	69	-10.8	-5.2	-4.4	-6.6	-3.2	-1.6	-10.6	-7	-12.6	-15.2	-20.6	-21	-22	-20.6	-27.2	-10.4	-19	-24.6	-17.6	-20.2	-24.8	-33.2	-34.8	-33.4	-45.2	-39.4	-47.6	-34	-21.4	-22.8	-45.4	-54	-47	-28.8	-21.8
Uusimaa	1	70	-3.6	-1.4	-1.2	0.4	0.8	-0.2	0.8	1.6	0.8	-5.2	-1.2	-6.2	-8.2	-6.8	-6	-0.4	-4	-7.6	-7.4	-3.6	-5.8	-5.8	-5.6	-0.6	-9.6	-11.4	-16.8	-7	-9.2	2.4	-26.6	-21.4	-8.4	-9.8	-4.4
Uusimaa	1	71	-3.6	-1.4	-1.2	0.4	0.8	-0.2	0.8	1.6	0.8	-5.2	-1.2	-6.2	-8.2	-6.8	-6	-0.4	-4	-7.6	-7.4	-3.6	-5.8	-5.8	-5.6	-0.6	-9.6	-11.4	-16.8	-7	-9.2	2.4	-26.6	-21.4	-8.4	-9.8	-4.4
Uusimaa	1	72	-3.6	-1.4	-1.2	0.4	0.8	-0.2	0.8	1.6	0.8	-5.2	-1.2	-6.2	-8.2	-6.8	-6	-0.4	-4	-7.6	-7.4	-3.6	-5.8	-5.8	-5.6	-0.6	-9.6	-11.4	-16.8	-7	-9.2	2.4	-26.6	-21.4	-8.4	-9.8	-4.4
Uusimaa	1	73	-3.6	-1.4	-1.2	0.4	0.8	-0.2	0.8	1.6	0.8	-5.2	-1.2	-6.2	-8.2	-6.8	-6	-0.4	-4	-7.6	-7.4	-3.6	-5.8	-5.8	-5.6	-0.6	-9.6	-11.4	-16.8	-7	-9.2	2.4	-26.6	-21.4	-8.4	-9.8	-4.4
Uusimaa	1	74	-3.6	-1.4	-1.2	0.4	0.8	-0.2	0.8	1.6	0.8	-5.2	-1.2	-6.2	-8.2	-6.8	-6	-0.4	-4	-7.6	-7.4	-3.6	-5.8	-5.8	-5.6	-0.6	-9.6	-11.4	-16.8	-7	-9.2	2.4	-26.6	-21.4	-8.4	-9.8	-4.4
Uusimaa	1	75	-0.692307692307692	0.769230769230769	0.384615384615385	1.23076923076923	0.923076923076923	0.423076923076923	0.5	0.846153846153846	0.307692307692308	0.653846153846154	-0.0769230769230769	0.115384615384615	-0.230769230769231	0.307692307692308	0.692307692307692	0.769230769230769	0.884615384615385	0.846153846153846	0.461538461538462	0.653846153846154	-0.538461538461538	0.192307692307692	-0.0769230769230769	0.961538461538462	0.461538461538462	0.923076923076923	0.769230769230769	2.57692307692308	0.769230769230769	4	0.5	0.115384615384615	0.307692307692308	2.19230769230769	0.346153846153846
Uusimaa	1	76	-0.692307692307692	0.769230769230769	0.384615384615385	1.23076923076923	0.923076923076923	0.423076923076923	0.5	0.846153846153846	0.307692307692308	0.653846153846154	-0.0769230769230769	0.115384615384615	-0.230769230769231	0.307692307692308	0.692307692307692	0.769230769230769	0.884615384615385	0.846153846153846	0.461538461538462	0.653846153846154	-0.538461538461538	0.192307692307692	-0.0769230769230769	0.961538461538462	0.461538461538462	0.923076923076923	0.769230769230769	2.57692307692308	0.769230769230769	4	0.5	0.115384615384615	0.307692307692308	2.19230769230769	0.346153846153846
Uusimaa	1	77	-0.692307692307692	0.769230769230769	0.384615384615385	1.23076923076923	0.923076923076923	0.423076923076923	0.5	0.846153846153846	0.307692307692308	0.653846153846154	-0.0769230769230769	0.115384615384615	-0.230769230769231	0.307692307692308	0.692307692307692	0.769230769230769	0.884615384615385	0.846153846153846	0.461538461538462	0.653846153846154	-0.538461538461538	0.192307692307692	-0.0769230769230769	0.961538461538462	0.461538461538462	0.923076923076923	0.769230769230769	2.57692307692308	0.769230769230769	4	0.5	0.115384615384615	0.307692307692308	2.19230769230769	0.346153846153846
Uusimaa	1	78	-0.692307692307692	0.769230769230769	0.384615384615385	1.23076923076923	0.923076923076923	0.423076923076923	0.5	0.846153846153846	0.307692307692308	0.653846153846154	-0.0769230769230769	0.115384615384615	-0.230769230769231	0.307692307692308	0.692307692307692	0.769230769230769	0.884615384615385	0.846153846153846	0.461538461538462	0.653846153846154	-0.538461538461538	0.192307692307692	-0.0769230769230769	0.961538461538462	0.461538461538462	0.923076923076923	0.769230769230769	2.57692307692308	0.769230769230769	4	0.5	0.115384615384615	0.307692307692308	2.19230769230769	0.346153846153846
