reg_code	age	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
246	0	0.00553229425294091	0.0053518096402519	0.00507800766617476	0.0048987847115864	0.00457171071359467	0.00448410785577627	0.00433781909516392	0.00417316977560452	0.00403702500524364	0.00388379283820867	0.00374671844343975	0.00360450535691875	0.00340124253014307	0.00328264137747104	0.00303202245151843	0.00292289677088251	0.00280053746035283	0.00274967850414169	0.00269150922649999	0.002587959465535	0.00253069508028508	0.00241895207755193	0.00236701391862655	0.00226510445135311	0.0022164080460451	0.0021326275018048	0.0021279405418834	0.00208323003093929	0.00199848273336314	0.00200015593524898	0.00208323003093929	0.00217387131263057	0.0021280952754671
246	1	0.000492957867144651	0.000481386846893538	0.000463618987885695	0.000451841378973736	0.000430026484901214	0.000424109285640782	0.000414154323036657	0.000402835144889955	0.000393379542433744	0.000382628156120963	0.000372908008975894	0.000362716126503243	0.000347948201503436	0.000339215779218792	0.000320461582210242	0.000312159055999313	0.000302744247066566	0.000298796758840424	0.000294256362758327	0.000286168005702969	0.000281851635992198	0.000273141784149939	0.000269070457834853	0.000260832929549935	0.000256826861485608	0.00024978669322353	0.000249408887697837	0.000245608829389519	0.000238241415729371	0.0002384035565624	0.000245608829389519	0.000253387620954596	0.000249525876545514
246	2	0.000257771327990656	0.000250739372362404	0.000239995675625571	0.000232911180013915	0.000219869597015032	0.000216350616436368	0.000210448610395647	0.000203766119781195	0.000198207416553758	0.000191913627308274	0.000186248478355325	0.000180334427859931	0.000171813591382298	0.00016680289153804	0.000156113818782366	0.000151414153571352	0.000146109723818879	0.000143893667789723	0.000141350713839849	0.000136818970821954	0.000134354599911118	0.000129461022020325	0.000127177983429201	0.000122625625199203	0.000120429310086564	0.000116607421534654	0.000116397894028336	0.000114345062997173	0.000110406601897514	0.000110488917541509	0.000114345062997173	0.000118526288790474	0.000116433349366594
246	3	0.000208749126247163	0.000201932203834039	0.000191591118603897	0.00018482244095179	0.000172470550282424	0.000169162392282176	0.000163638216329263	0.000157420930636673	0.000152280184470955	0.000146494436902849	0.000141318969331868	0.00013594968319671	0.000128275822394186	0.000123798437911859	0.00011433771187236	0.000110218519522503	0.000105599978293058	0.00010368032910875	0.000101484798780739	9.75764775399448e-05	9.54149569170834e-05	9.1197460269748e-05	8.9237216517717e-05	8.53912934645404e-05	8.35536574353278e-05	8.03922627175632e-05	8.02153866222109e-05	7.85283337143654e-05	7.53307925237632e-05	7.53939039406898e-05	7.85283337143654e-05	8.19484074534241e-05	8.02211070332559e-05
246	4	0.00017750818027739	0.000171201669947137	0.000161671413633086	0.00015545820991292	0.000144172926490306	0.000141162495884485	0.000136147274968194	0.000130520936752629	0.000125883789131271	0.000120681593393788	0.000116043671894991	0.000111248122766227	0.000104423809946668	0.000100458825730017	9.2123514859841e-05	8.85132997412761e-05	8.44798048201307e-05	8.28079279505475e-05	8.08991768943564e-05	7.75050917256347e-05	7.56166065269513e-05	7.19606328019826e-05	7.02653273545924e-05	6.69633797911487e-05	6.53930162518632e-05	6.2705758836078e-05	6.25542331359297e-05	6.11249853508456e-05	5.84313492266857e-05	5.84831935337883e-05	6.11249853508456e-05	6.4017354698882e-05	6.25508665288775e-05
246	5	0.000162507530707787	0.000156543699270371	0.000147545369992817	0.000141688475868356	0.000131070686047886	0.0001282429397508	0.000123536577698646	0.000118263669615694	0.000113923534806639	0.000109060939948412	0.000104731706313883	0.000100261445998667	9.39112542232617e-05	9.02280784357214e-05	8.25013367504917e-05	7.9161868454922e-05	7.54362797437494e-05	7.38937637619392e-05	7.21339809547844e-05	6.90064282944631e-05	6.72627096659085e-05	6.38970274577359e-05	6.23378858356357e-05	5.93095664625655e-05	5.7871973745078e-05	5.54169613330505e-05	5.52781527617723e-05	5.39741802672522e-05	5.1521992712911e-05	5.15687480157762e-05	5.39741802672522e-05	5.6611449802162e-05	5.52723522095028e-05
246	6	0.000157425610003237	0.000151719013067528	0.000143103634458929	0.000137492499347127	0.000127312771832883	0.000124599989114784	0.000120083303957539	0.000115020351385142	0.00011085092314062	0.000106177226232132	0.000102013986322556	9.77128723670733e-05	9.15988185725445e-05	8.80502628463526e-05	8.05999669279745e-05	7.73773279556287e-05	7.37800712773192e-05	7.22900462835639e-05	7.05896736186159e-05	6.75670839884588e-05	6.58831525540592e-05	6.26291986421432e-05	6.11212342875871e-05	5.81892285613139e-05	5.67963844663155e-05	5.44159334313272e-05	5.42814778443688e-05	5.30164577555479e-05	5.06355511013307e-05	5.06811090241245e-05	5.30164577555479e-05	5.55755164462471e-05	5.42768470614314e-05
246	7	0.00016605787367243	0.000159957910597725	0.00015075461592392	0.000144764604936618	0.000133906115108098	0.000131014407253411	0.000126201729427145	0.000120809920383242	0.000116372093756307	0.000111400243446321	0.00010697392005886	0.000102403594816463	9.59116009266745e-05	9.21463730721804e-05	8.4247993917273e-05	8.08345643171666e-05	7.70266288562988e-05	7.54500718546865e-05	7.36514925477649e-05	7.04550416009405e-05	6.86728073349592e-05	6.52330847339289e-05	6.36396923776394e-05	6.05451011091617e-05	5.90761280413051e-05	5.65676789006466e-05	5.6425837847675e-05	5.50935361508154e-05	5.25882354362014e-05	5.26359902771029e-05	5.50935361508154e-05	5.77880551884233e-05	5.64198302021011e-05
246	8	0.000160534801532633	0.000154863220034961	0.000146290181015604	0.000140699490416034	0.000130541609046088	0.000127831169976076	0.000123314984753057	0.000118247361316829	0.000114069765305308	0.000109382073722782	0.000105201879761178	0.000100878613513523	9.47245414668257e-05	9.11479298895771e-05	8.36264056379265e-05	8.03674766538054e-05	7.67255573263296e-05	7.52157001998317e-05	7.34917116412092e-05	7.04259052224294e-05	6.87207020153055e-05	6.5417842774178e-05	6.38860244587781e-05	6.09010632944976e-05	5.94810074121993e-05	5.70500998729712e-05	5.69130956587822e-05	5.5619894255642e-05	5.31817405759515e-05	5.32287447576843e-05	5.5619894255642e-05	5.8237228583126e-05	5.69105260348734e-05
246	9	0.000150908513589095	0.000146038866208705	0.000138647937001388	0.000133807672248154	0.000124969298098964	0.000122600877542297	0.000118644685622052	0.000114190187548914	0.000110505399100345	0.000106356489397539	0.000102643534282286	9.87897971908748e-05	9.32787759389389e-05	9.0061498382137e-05	8.32587020658817e-05	8.02946807042207e-05	7.69697550476262e-05	7.55872724161553e-05	7.40057285683367e-05	7.11900288449551e-05	6.96342617821126e-05	6.65952770011002e-05	6.51823690955297e-05	6.2407403130761e-05	6.10806209007196e-05	5.87963601884613e-05	5.86687103963346e-05	5.74491763877198e-05	5.51358914781482e-05	5.51817166512024e-05	5.74491763877198e-05	5.99221430332796e-05	5.86738823715264e-05
